# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
3954	5.2594E-001	5.6184E-004	5.6595E-002	10147	-9.4116E-003	-2.3709E-002	-1.2963E-002	-2.8486E-003	2.7592E-003
3955	5.2650E-001	5.6951E-004	5.7380E-002	10151	-9.7148E-003	-2.4050E-002	-1.1609E-002	-1.3001E-003	-3.1814E-004
3956	5.2235E-001	5.6250E-004	5.6682E-002	10154	-9.6986E-003	-2.2687E-002	-1.2395E-002	-6.2035E-003	2.0673E-003
3957	5.1270E-001	5.6845E-004	5.7290E-002	10157	-9.6783E-003	-2.4123E-002	-1.3548E-002	-9.8046E-003	3.5007E-003
3958	5.0181E-001	5.6830E-004	5.7294E-002	10164	-1.0079E-002	-2.3529E-002	-1.6951E-002	-1.0279E-002	1.9200E-003
3959	4.8397E-001	5.7287E-004	5.7760E-002	10166	-1.0483E-002	-2.5314E-002	-1.6138E-002	-1.8852E-002	-1.1948E-003
3960	4.5984E-001	5.6712E-004	5.7192E-002	10170	-1.0283E-002	-2.4646E-002	-1.7388E-002	-2.0678E-002	-2.4313E-003
3961	4.3025E-001	5.5046E-004	5.5509E-002	10169	-9.9317E-003	-2.2221E-002	-1.4169E-002	-1.8818E-002	-5.4786E-004
3962	3.9618E-001	5.2282E-004	5.2721E-002	10169	-8.7641E-003	-1.9254E-002	-1.2173E-002	-1.5074E-002	3.7015E-003
3963	3.6234E-001	5.0381E-004	5.0799E-002	10167	-7.5424E-003	-1.7537E-002	-8.8120E-003	-9.4842E-003	9.8743E-003
3964	3.2854E-001	4.8331E-004	4.8725E-002	10164	-6.8234E-003	-1.5180E-002	-5.0770E-003	-1.5027E-003	7.9245E-003
3965	2.9699E-001	4.7145E-004	4.7517E-002	10159	-6.3551E-003	-1.3690E-002	-7.0858E-003	1.3114E-003	2.8422E-003
3966	2.6599E-001	4.4818E-004	4.5172E-002	10159	-4.7615E-003	-1.1799E-002	-1.6825E-003	5.4079E-003	1.0468E-002
3967	2.3771E-001	4.4488E-004	4.4842E-002	10160	-2.9781E-003	-9.7764E-003	2.5704E-003	1.0245E-002	1.2599E-002
3968	2.1457E-001	4.2967E-004	4.3313E-002	10162	-1.6291E-003	-8.8446E-003	3.7115E-003	1.8337E-002	1.5162E-002
3969	2.0238E-001	4.3045E-004	4.3398E-002	10165	-8.9308E-004	-6.5870E-003	8.8501E-003	2.6169E-002	1.7827E-002
3970	2.0227E-001	4.3875E-004	4.4237E-002	10166	-8.2781E-004	-6.0782E-003	1.0634E-002	3.5575E-002	2.3701E-002
3971	2.1645E-001	4.3563E-004	4.3920E-002	10165	-1.0870E-003	-6.6666E-003	6.6950E-003	3.4597E-002	2.0093E-002
3972	2.4410E-001	4.3126E-004	4.3479E-002	10165	-1.8599E-003	-8.2225E-003	3.3779E-003	2.7189E-002	1.4901E-002
3973	2.7937E-001	4.4101E-004	4.4460E-002	10164	-3.2182E-003	-1.0716E-002	3.6304E-003	1.3619E-002	1.4120E-002
3974	3.2130E-001	4.5806E-004	4.6191E-002	10169	-4.5872E-003	-1.3253E-002	-6.3694E-004	5.0892E-003	6.3207E-003
3975	3.6581E-001	4.8673E-004	4.9081E-002	10169	-5.6419E-003	-1.6714E-002	-7.8965E-003	5.5539E-004	7.0621E-004
3976	4.0884E-001	4.9116E-004	4.9530E-002	10170	-6.2101E-003	-1.8910E-002	-7.8337E-003	-9.7468E-004	-4.7042E-004
3977	4.5153E-001	5.1511E-004	5.1946E-002	10170	-7.3443E-003	-2.1093E-002	-7.7824E-003	-1.5586E-003	1.7722E-004
3978	4.9063E-001	5.3101E-004	5.3560E-002	10174	-8.5604E-003	-2.1978E-002	-1.0262E-002	-4.8195E-003	-2.0501E-004
3979	5.2240E-001	5.4892E-004	5.5369E-002	10175	-9.1716E-003	-2.4335E-002	-1.2136E-002	-9.3575E-003	-5.6463E-003
3980	5.4821E-001	5.6607E-004	5.7088E-002	10171	-9.7280E-003	-2.4409E-002	-1.2505E-002	-1.1521E-002	-1.2661E-002
3981	5.6927E-001	5.6138E-004	5.6621E-002	10173	-9.4467E-003	-2.5584E-002	-7.2016E-003	-1.2065E-002	-7.2628E-003
3982	5.8102E-001	5.5084E-004	5.5554E-002	10172	-9.1646E-003	-2.4876E-002	-6.5864E-003	-9.8720E-003	-3.5574E-003
3983	5.8821E-001	5.5038E-004	5.5520E-002	10176	-9.0529E-003	-2.5003E-002	-3.8989E-003	1.1465E-003	-3.2530E-003
3984	5.9321E-001	5.4620E-004	5.5103E-002	10178	-8.5310E-003	-2.3098E-002	-5.3467E-003	8.9191E-003	1.0927E-003
3985	5.9723E-001	5.4470E-004	5.4952E-002	10178	-7.9150E-003	-2.3952E-002	-3.0359E-003	7.7377E-003	6.3022E-003
3986	6.0423E-001	5.4649E-004	5.5135E-002	10179	-8.1154E-003	-2.3120E-002	-5.1388E-003	1.2032E-002	4.4796E-003
3987	6.1422E-001	5.5956E-004	5.6462E-002	10182	-8.4862E-003	-2.4609E-002	-5.2434E-003	5.4295E-003	3.8399E-003
3988	6.2123E-001	5.5560E-004	5.6060E-002	10181	-8.7671E-003	-2.4305E-002	-7.1631E-003	8.4776E-003	-3.0865E-003
3989	6.2952E-001	5.6963E-004	5.7469E-002	10179	-8.7759E-003	-2.5173E-002	-6.2789E-003	5.7753E-003	-2.4726E-003
3990	6.3850E-001	5.6701E-004	5.7206E-002	10179	-8.9767E-003	-2.7426E-002	-1.9402E-003	1.4417E-003	-1.9251E-004
3991	6.4480E-001	5.7514E-004	5.8032E-002	10181	-9.4882E-003	-2.7677E-002	-5.2161E-003	2.7582E-003	2.2321E-003
3992	6.5088E-001	5.7480E-004	5.8000E-002	10182	-9.4941E-003	-2.6680E-002	-6.4066E-003	2.1024E-003	2.1889E-003
3993	6.5433E-001	5.7097E-004	5.7610E-002	10181	-9.4946E-003	-2.6623E-002	-7.3259E-003	3.6092E-003	1.6265E-003
3994	6.5564E-001	5.7154E-004	5.7671E-002	10182	-9.1844E-003	-2.5863E-002	-6.2057E-003	1.5199E-003	-8.1959E-004
3995	6.5556E-001	5.6693E-004	5.7208E-002	10183	-9.2531E-003	-2.6860E-002	-3.8563E-003	4.1642E-003	-2.4123E-003
3996	6.5225E-001	5.6228E-004	5.6742E-002	10184	-8.8071E-003	-2.6428E-002	-1.0387E-003	5.8525E-003	1.3644E-003
3997	6.4895E-001	5.4806E-004	5.5310E-002	10185	-8.4752E-003	-2.4900E-002	-7.1951E-004	1.3005E-002	2.4689E-003
3998	6.5096E-001	5.5691E-004	5.6203E-002	10185	-8.4391E-003	-2.3813E-002	1.5867E-003	2.0285E-002	5.6485E-003
3999	6.5805E-001	5.5254E-004	5.5764E-002	10186	-8.7569E-003	-2.3336E-002	1.4816E-003	1.5577E-002	2.0783E-003
4000	6.6841E-001	5.5669E-004	5.6181E-002	10185	-9.1024E-003	-2.4446E-002	-1.8171E-004	3.7901E-003	-3.2980E-003
4001	6.8017E-001	5.7826E-004	5.8360E-002	10186	-9.6466E-003	-2.6247E-002	-6.7928E-003	2.5011E-003	-8.3120E-003
